B,P,C,X,N,Avg Time
5,1,1,0,1,10.31
5,1,5,0,1,10.32
5,5,1,0,1,10.26
5,5,5,0,1,10.25
10,1,1,0,1,10.32
10,1,5,0,1,10.29
10,1,10,0,1,10.30
10,5,1,0,1,10.26
10,5,5,0,1,10.26
10,5,10,0,1,10.24
10,10,1,0,1,10.26
10,10,5,0,1,10.27
10,10,10,0,1,10.26
5,1,1,200,1,11.32
5,1,5,200,1,10.55
5,5,1,200,1,11.25
5,5,5,200,1,10.46
10,1,1,200,1,12.30
10,1,5,200,1,10.56
10,1,10,200,1,10.52
10,5,1,200,1,12.26
10,5,5,200,1,10.64
10,5,10,200,1,10.46
10,10,1,200,1,12.27
10,10,5,200,1,10.62
10,10,10,200,1,10.45
5,1,1,400,1,20.84
5,1,5,400,1,10.76
5,5,1,400,1,20.92
5,5,5,400,1,10.65
10,1,1,400,1,21.61
10,1,5,400,1,10.87
10,1,10,400,1,10.72
10,5,1,400,1,21.95
10,5,5,400,1,11.05
10,5,10,400,1,10.65
10,10,1,400,1,21.95
10,10,5,400,1,11.18
10,10,10,400,1,10.66